"","Var1","Var2","Freq"
"1","Lithuania","H10N4",1
"2","Netherlands","H10N4",2
"3","Iceland","H10N5",1
"4","Netherlands","H10N7",10
"5","Bulgaria","H10NY",1
"6","Georgia","H11N1",1
"7","Netherlands","H11N1",2
"8","Iceland","H11N2",1
"9","Iceland","H11N9",1
"10","Netherlands","H11N9",6
"11","Netherlands","H12N5",2
"12","Georgia","H13N2",1
"13","Netherlands","H13N2",2
"14","Netherlands","H13N3",1
"15","Georgia","H13N6",3
"16","Netherlands","H13N6",1
"17","Netherlands","H13N8",16
"18","Netherlands","H13Nx",14
"19","Netherlands","H16N2",1
"20","Iceland","H16N3",8
"21","Netherlands","H16N3",20
"22","Netherlands","H16N6",5
"23","Netherlands","H16Nx",8
"24","Netherlands","H1N1",8
"25","Netherlands","H1N2",2
"26","Netherlands","H1N3",1
"27","Netherlands","H1N6",1
"28","Bulgaria","H1NY",2
"29","Netherlands","H2N3",2
"30","Iceland","H2N5",10
"31","Iceland","H2N7",11
"32","Netherlands","H2N9",3
"33","Netherlands","H3N1",1
"34","Netherlands","H3N2",5
"35","Iceland","H3N6",1
"36","Netherlands","H3N6",2
"37","Hungary","H3N8",3
"38","Netherlands","H3N8",20
"39","Netherlands","H3Ny",1
"40","Bulgaria","H4N6",1
"41","Georgia","H4N6",7
"42","Netherlands","H4N6",14
"43","Iceland","H4N8",1
"44","Netherlands","H4Nx",2
"45","Bulgaria","H5N1",1
"46","Iceland","H5N2",1
"47","Netherlands","H5N2",4
"48","Netherlands","H5N3",2
"49","Georgia","H5N6",1
"50","Netherlands","H5N6",6
"51","Netherlands","H5N8",53
"52","Netherlands","H5Nx",6
"53","Netherlands","H6N1",3
"54","Georgia","H6N2",1
"55","Netherlands","H6N2",7
"56","Netherlands","H6N3",1
"57","Iceland","H6N5",3
"58","Iceland","H6N7",1
"59","Iceland","H6N8",9
"60","Netherlands","H6N8",6
"61","Netherlands","H6Nx",8
"62","Netherlands","H7N1",1
"63","Netherlands","H7N2,H7N2",1
"64","Georgia","H7N3",1
"65","Netherlands","H7N3",3
"66","Netherlands","H7N5",1
"67","Georgia","H7N7",2
"68","Netherlands","H7N7",3
"69","Netherlands","H7Nx",6
"70","Netherlands","H8N4",2
"71","Netherlands","H8Nx",1
"72","Georgia","HxN1",1
"73","Netherlands","HxN1",1
"74","Netherlands","HxN2",5
"75","Netherlands","HxN3",3
"76","Netherlands","HxN6",4
"77","Netherlands","HxN8",12
"78","Iceland","Mixed",2
