"species","counts"
"Accipiter Gentilis ",10
"Accipitridae (Accipitridae)",159
"Accipitridae (Incognita)",12
"Accipitridae (Unidentified):Accipitridae (Incognita)(Accipitridae)",22
"Anatidae (Incognita)",55
"Anatidae (Unidentified)",306
"Anatidae (Unidentified):Anatidae (Incognita)(Anatidae)",583
"Anserinae (Unidentified):Anserinae (Incognita)(Anatidae)",154
"Barnacle Goose:branta Leucopsis(Anatidae)",229
"Black Headed Gull (Chroicocephalus Ridibundus)",61
"Brent Goose:branta Bernicla(Anatidae)",10
"Buzzard",219
"Canada Goose:branta Canadensis(Anatidae)",102
"Charadriidae (Unidentified):Charadriidae (Incognita)(Charadriidae)",43
"Common Eider (Somateria Mollissima)",13
"Common Kestrel:falco Tinnunculus(Falconidae)",19
"Common Murre (Uria Aalge) ",15
"Common Tern (Sterna Hirundo)",11
"Cormorant",15
"Crow",31
"Curlew",15
"Dalmatian Pelican (Pelecanus Crispus)",19
"Duck",91
"Eurasian Buzzard (Common Buzzard) (Buteo Buteo)",19
"Eurasian Buzzard (Common Buzzard):Buteo Buteo(Accipitridae)",36
"Eurasian Sparrowhawk:accipiter Nisus(Accipitridae)",13
"Eurasian Wigeon (Anas Penelope)",40
"Goose",201
"Great Black-Backed Gull (Larus Marinus)",30
"Great Cormorant (Phalacrocorax Carbo)",27
"Great Crested Grebe",16
"Great Skua (Stercorarius Skua)",18
"Greater White-Fronted Goose (Anser Albifrons)",25
"Grey Heron",23
"Grey Heron:ardea Cinerea(Ardeidae)",28
"Greylag Goose",55
"Greylag Goose:anser Anser(Anatidae)",179
"Gull",121
"Heron",27
"Herring Gull",36
"Herring Gull:larus Argentatus(Laridae)",147
"Laridae (Unidentified):Laridae (Incognita)(Laridae)",160
"Magpie",16
"Mallard",73
"Mallard:anas Platyrhynchos(Anatidae)",48
"Mew Gull (Larus Canus)",10
"Mute Swan  (Cygnus Olor)",345
"Mute Swan:cygnus Olor(Anatidae)",476
"Northern Gannet:morus Bassanus(Sulidae)",204
"Owl",25
"Pelecanidae (Unidentified):Pelecanidae (Incognita)(Pelecanidae)",10
"Peregrin Falcon:falco Peregrinus(Falconidae)",41
"Peregrine Falcon",23
"Phasianidae (Unidentified):Phasianidae (Incognita)(Phasianidae)",45
"Phasianus Colchicus (Common Pheasant) - Phasanidae",14
"Rook",10
"Sandwich Tern",24
"Stork",35
"Strigidae (Unidentified):Strigidae (Incognita)(Strigidae)",15
"Sulids (Sulidae)",18
"Swan",519
"Teal",19
"Tufted Duck",83
"Unspecified Bird",530
"White Tailed Eagle (Haliaeetus Albicilla)",96
"Whooper Swan",65
"Whooper Swan:cygnus Cygnus(Anatidae)",88
"Wild Duck",64
"Yellow-Legged Gull ",10
