"","family","bvbrc_family_count","emp_family_count"
"1","Accipitridae",5,324
"2","Aegithalidae",1,NA
"3","Alcedinidae",14,NA
"4","Alcidae",44,19
"5","Anatidae",27772,3120
"6","Apodidae",6,NA
"7","Ardeidae",199,73
"8","Centropidae",1,NA
"9","Charadriidae",13,47
"10","Ciconiidae",6,9
"11","Cisticolidae",15,NA
"12","Columbidae",37,14
"13","Corvidae",9,23
"14","Cracidae",1,NA
"15","Cuculidae",1,NA
"16","Dicruridae",1,NA
"17","Estrildidae",45,NA
"18","Eurylaimidae",1,NA
"19","Falconidae",2,45
"20","Fringillidae",5,NA
"21","Gaviidae",3,1
"22","Gruidae",2,3
"23","Haematopodidae",9,4
"24","Hirundinidae",3,NA
"25","Irenidae",1,NA
"26","Jacanidae",2,NA
"27","Laniidae",1,NA
"28","Laridae",3181,661
"29","Lybiidae",2,NA
"30","Meropidae",1,NA
"31","Monarchidae",2,NA
"32","Motacillidae",1,NA
"33","Muscicapidae",15,NA
"34","Nectariniidae",43,NA
"35","Paridae",3,NA
"36","Parulidae",18,NA
"37","Passerellidae",11,NA
"38","Passeridae",33,12
"39","Pelecanidae",2,34
"40","Phalacrocoracidae",37,46
"41","Phasianidae",39,73
"42","Phylloscopidae",2,NA
"43","Picidae",3,NA
"44","Ploceidae",34,NA
"45","Podicipedidae",13,31
"46","Procellariidae",3,2
"47","Psittaculidae",1,NA
"48","Pycnonotidae",100,NA
"49","Rallidae",146,20
"50","Recurvirostridae",27,NA
"51","Rhipiduridae",10,NA
"52","Rostratulidae",16,NA
"53","Scolopacidae",2197,14
"54","Stenostiridae",3,NA
"55","Sturnidae",23,2
"56","Sulidae",1,204
"57","Sylviidae",8,NA
"58","Threskiornithidae",3,7
"59","Timaliidae",2,NA
"60","Turdidae",16,1
"61","Turnicidae",12,NA
"62","Tyrannidae",6,NA
"63","Zosteropidae",1,NA
"64",NA,5053,1881
"65","Cacatuidae",NA,2
"66","Canidae",NA,2
"67","Dromaiidae",NA,3
"68","Mustelidae",NA,2
"69","Numididae",NA,1
"70","Nymphalidae",NA,1
"71","Phocidae",NA,2
"72","Phoenicopteridae",NA,3
"73","Rheidae",NA,3
"74","Stercorariidae",NA,18
"75","Strigidae",NA,26
"76","Tytonidae",NA,3
