,family,bvbrc_family_count,emp_family_count,total,common_name
5,Anatidae,27772,3120,30892,"waterfowl - ducks, geese and swans"
64,NA,5053,1881,6934,
28,Laridae,3181,661,3842,gulls and terns
53,Scolopacidae,2197,14,2211,sandpipers
1,Accipitridae,5,324,329,"eagles, hawks and kites"
7,Ardeidae,199,73,272,long-legged freshwater and coastal birds (egrest/bitterns/herons.
56,Sulidae,1,204,205,gannets and boobies
49,Rallidae,146,20,146,"rails - coots, crakes, gallinule"
41,Phasianidae,39,73,112,"pheasants, partridges, junglefowl, chickens, turkeys"
48,Pycnonotidae,100,NA,100,medium-sized passerine songbirds. 
40,Phalacrocoracidae,37,46,83,
4,Alcidae,44,19,63,
9,Charadriidae,13,47,60,
12,Columbidae,37,14,51,
19,Falconidae,2,45,47,
17,Estrildidae,45,NA,45,
38,Passeridae,33,12,45,
45,Podicipedidae,13,31,44,
34,Nectariniidae,43,NA,43,
39,Pelecanidae,2,34,36,
44,Ploceidae,34,NA,34,
13,Corvidae,9,23,32,
50,Recurvirostridae,27,NA,27,
75,Strigidae,NA,26,26,
55,Sturnidae,23,2,25,
36,Parulidae,18,NA,18,
74,Stercorariidae,NA,18,18,
60,Turdidae,16,1,17,
52,Rostratulidae,16,NA,16,
10,Ciconiidae,6,9,15,
11,Cisticolidae,15,NA,15,
33,Muscicapidae,15,NA,15,
3,Alcedinidae,14,NA,14,
23,Haematopodidae,9,4,13,
61,Turnicidae,12,NA,12,
37,Passerellidae,11,NA,11,
51,Rhipiduridae,10,NA,10,
58,Threskiornithidae,3,7,10,
57,Sylviidae,8,NA,8,
6,Apodidae,6,NA,6,
62,Tyrannidae,6,NA,6,
20,Fringillidae,5,NA,5,
22,Gruidae,2,3,5,
46,Procellariidae,3,2,5,
21,Gaviidae,3,1,4,
24,Hirundinidae,3,NA,3,
35,Paridae,3,NA,3,
43,Picidae,3,NA,3,
54,Stenostiridae,3,NA,3,
67,Dromaiidae,NA,3,3,
72,Phoenicopteridae,NA,3,3,
73,Rheidae,NA,3,3,
76,Tytonidae,NA,3,3,
26,Jacanidae,2,NA,2,
29,Lybiidae,2,NA,2,
31,Monarchidae,2,NA,2,
42,Phylloscopidae,2,NA,2,
59,Timaliidae,2,NA,2,
65,Cacatuidae,NA,2,2,
66,Canidae,NA,2,2,
68,Mustelidae,NA,2,2,
71,Phocidae,NA,2,2,
2,Aegithalidae,1,NA,1,
8,Centropidae,1,NA,1,
14,Cracidae,1,NA,1,
15,Cuculidae,1,NA,1,
16,Dicruridae,1,NA,1,
18,Eurylaimidae,1,NA,1,
25,Irenidae,1,NA,1,
27,Laniidae,1,NA,1,
30,Meropidae,1,NA,1,
32,Motacillidae,1,NA,1,
47,Psittaculidae,1,NA,1,
63,Zosteropidae,1,NA,1,
69,Numididae,NA,1,1,
70,Nymphalidae,NA,1,1,
