"","order","bvbrc_order_count","emp_order_count"
"1","Accipitriformes",5,324
"2","Anseriformes",27772,3120
"3","Apodiformes",6,NA
"4","Charadriiformes",6190,763
"5","Ciconiiformes",6,9
"6","Columbiformes",37,14
"7","Coraciiformes",15,NA
"8","Cuculiformes",2,NA
"9","Falconiformes",2,45
"10","Galliformes",40,74
"11","Gaviiformes",3,1
"12","Gruiformes",148,23
"13","Passeriformes",415,38
"14","Pelecaniformes",242,364
"15","Piciformes",5,NA
"16","Podicipediformes",13,31
"17","Procellariiformes",3,2
"18","Psittaciformes",1,2
"19",NA,4362,1881
"20","Carnivora",NA,6
"21","Casuariiformes",NA,3
"22","Lepidoptera",NA,1
"23","Phoenicopteriformes",NA,3
"24","Rheiformes",NA,3
"25","Strigiformes",NA,29
