"","Var1","Freq"
"1","Alle alle",4
"2","Alopochen aegyptiaca",1
"3","Alopochen aegyptiacus",4
"4","Anas acuta",12
"5","Anas clypeata",48
"6","Anas crecca",446
"7","Anas penelope",796
"8","Anas platyrhynchos",9270
"9","Anas querquedula",2
"10","Anas sp.",12
"11","Anas strepera",253
"12","Anser albifrons",816
"13","Anser anser",99
"14","Anser brachyrhynchus",1
"15","Anser fabalis",48
"16","Anser fabalis serrirostris",2
"17","Aquila heliaca",1
"18","Arenaria interpres",32
"19","Aythya ferina",1
"20","Aythya fuligula",3
"21","Branta bernicla",11
"22","Branta leucopsis",237
"23","Bucephala clangula",2
"24","Buteo buteo",3
"25","Calcarius lapponicus",4
"26","Calidris alba",15
"27","Calidris alpina",4
"28","Cepphus grylle",4
"29","Chlidonias niger",1
"30","Chroicocephalus ridibundus",228
"31","Coloeus monedula",1
"32","Coturnix coturnix",1
"33","Cygnus atratus",1
"34","Cygnus bewickii",4
"35","Cygnus columbianus bewickii",20
"36","Cygnus olor",28
"37","Env",4
"38","Falco peregrinus",2
"39","Fulica atra",14
"40","Gallinago gallinago",1
"41","Gallinula chloropus",6
"42","Haematopus ostralegus",1
"43","Larus argentatus",51
"44","Larus argentatus cachinnans",1
"45","Larus armenicus",42
"46","Larus cachinnans",3
"47","Larus cachinnans cachinnans",1
"48","Larus canus",4
"49","Larus fuscus",38
"50","Larus glaucoides",4
"51","Larus hyperboreus",20
"52","Larus marinus",23
"53","Larus melanocephalus",5
"54","Larus michahellis",126
"55","Larus ridibundus",1137
"56","Larus sp.",23
"57","Phalacrocorax carbo",1
"58","Plectrophenax nivalis",1
"59","Podiceps cristatus",2
"60","Porzana parva",1
"61","Rissa tridactyla",10
"62","Somateria mollissima",5
"63","Tachybaptus ruficollis",1
"64","Tadorna tadorna",2
"65","Tringa glareola",26
"66","Tringa totanus",2
"67","Uria aalge",2
"68","Uria lomvia",3
